Div,season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG
E1,2425,09/08/2024,20:00,Blackburn,Derby,4,2
E1,2425,09/08/2024,20:00,Preston,Sheffield United,0,2
E1,2425,10/08/2024,12:30,Cardiff,Sunderland,0,2
E1,2425,10/08/2024,12:30,Hull,Bristol City,1,1
E1,2425,10/08/2024,12:30,Leeds,Portsmouth,3,3
E1,2425,10/08/2024,12:30,Middlesbrough,Swansea,1,0
E1,2425,10/08/2024,12:30,Millwall,Watford,2,3
E1,2425,10/08/2024,12:30,Oxford,Norwich,2,0
E1,2425,10/08/2024,12:30,QPR,West Brom,1,3
E1,2425,10/08/2024,12:30,Stoke,Coventry,1,0
E1,2425,11/08/2024,16:00,Sheffield Weds,Plymouth,4,0
E1,2425,12/08/2024,20:00,Luton,Burnley,1,4
E1,2425,16/08/2024,20:00,Coventry,Oxford,3,2
E1,2425,17/08/2024,12:30,Derby,Middlesbrough,1,0
E1,2425,17/08/2024,12:30,Portsmouth,Luton,0,0
E1,2425,17/08/2024,12:30,West Brom,Leeds,0,0
E1,2425,17/08/2024,15:00,Bristol City,Millwall,4,3
E1,2425,17/08/2024,15:00,Burnley,Cardiff,5,0
E1,2425,17/08/2024,15:00,Norwich,Blackburn,2,2
E1,2425,17/08/2024,15:00,Plymouth,Hull,1,1
E1,2425,17/08/2024,15:00,Sheffield United,QPR,2,2
E1,2425,17/08/2024,15:00,Swansea,Preston,3,0
E1,2425,17/08/2024,15:00,Watford,Stoke,3,0
E1,2425,18/08/2024,12:00,Sunderland,Sheffield Weds,4,0
E1,2425,23/08/2024,20:00,Sheffield Weds,Leeds,0,2
E1,2425,24/08/2024,12:30,Bristol City,Coventry,1,1
E1,2425,24/08/2024,12:30,Hull,Millwall,0,0
E1,2425,24/08/2024,12:30,QPR,Plymouth,1,1
E1,2425,24/08/2024,15:00,Blackburn,Oxford,2,1
E1,2425,24/08/2024,15:00,Middlesbrough,Portsmouth,2,2
E1,2425,24/08/2024,15:00,Norwich,Sheffield United,1,1
E1,2425,24/08/2024,15:00,Preston,Luton,1,0
E1,2425,24/08/2024,15:00,Stoke,West Brom,1,2
E1,2425,24/08/2024,15:00,Sunderland,Burnley,1,0
E1,2425,24/08/2024,15:00,Watford,Derby,2,1
E1,2425,25/08/2024,15:00,Swansea,Cardiff,1,1
E1,2425,30/08/2024,20:00,Luton,QPR,1,2
E1,2425,31/08/2024,12:30,Burnley,Blackburn,1,1
E1,2425,31/08/2024,12:30,Cardiff,Middlesbrough,0,2
E1,2425,31/08/2024,12:30,Coventry,Norwich,0,1
E1,2425,31/08/2024,15:00,Derby,Bristol City,3,0
E1,2425,31/08/2024,15:00,Leeds,Hull,2,0
E1,2425,31/08/2024,15:00,Millwall,Sheffield Weds,3,0
E1,2425,31/08/2024,15:00,Oxford,Preston,3,1
E1,2425,31/08/2024,15:00,Plymouth,Stoke,0,1
E1,2425,31/08/2024,15:00,Portsmouth,Sunderland,1,3
E1,2425,31/08/2024,15:00,West Brom,Swansea,1,0
E1,2425,01/09/2024,15:00,Sheffield United,Watford,1,0
E1,2425,13/09/2024,20:00,Hull,Sheffield United,0,2
E1,2425,14/09/2024,12:30,Leeds,Burnley,0,1
E1,2425,14/09/2024,12:30,Millwall,Luton,0,1
E1,2425,14/09/2024,12:30,Oxford,Stoke,1,0
E1,2425,14/09/2024,15:00,Blackburn,Bristol City,3,0
E1,2425,14/09/2024,15:00,Derby,Cardiff,1,0
E1,2425,14/09/2024,15:00,Middlesbrough,Preston,1,1
E1,2425,14/09/2024,15:00,Plymouth,Sunderland,3,2
E1,2425,14/09/2024,15:00,Sheffield Weds,QPR,1,1
E1,2425,14/09/2024,15:00,Swansea,Norwich,1,0
E1,2425,14/09/2024,15:00,Watford,Coventry,1,1
E1,2425,15/09/2024,15:00,Portsmouth,West Brom,0,3
E1,2425,20/09/2024,20:00,Stoke,Hull,1,3
E1,2425,21/09/2024,12:30,Norwich,Watford,4,1
E1,2425,21/09/2024,12:30,QPR,Millwall,1,1
E1,2425,21/09/2024,12:30,Sunderland,Middlesbrough,1,0
E1,2425,21/09/2024,15:00,Bristol City,Oxford,2,1
E1,2425,21/09/2024,15:00,Burnley,Portsmouth,2,1
E1,2425,21/09/2024,15:00,Cardiff,Leeds,0,2
E1,2425,21/09/2024,15:00,Coventry,Swansea,1,2
E1,2425,21/09/2024,15:00,Luton,Sheffield Weds,2,1
E1,2425,21/09/2024,15:00,Sheffield United,Derby,1,0
E1,2425,21/09/2024,15:00,West Brom,Plymouth,1,0
E1,2425,22/09/2024,12:00,Preston,Blackburn,0,0
E1,2425,27/09/2024,20:00,Plymouth,Luton,3,1
E1,2425,28/09/2024,12:30,Blackburn,QPR,2,0
E1,2425,28/09/2024,12:30,Derby,Norwich,2,3
E1,2425,28/09/2024,12:30,Sheffield Weds,West Brom,3,2
E1,2425,28/09/2024,15:00,Hull,Cardiff,4,1
E1,2425,28/09/2024,15:00,Leeds,Coventry,3,0
E1,2425,28/09/2024,15:00,Middlesbrough,Stoke,2,0
E1,2425,28/09/2024,15:00,Millwall,Preston,3,1
E1,2425,28/09/2024,15:00,Oxford,Burnley,0,0
E1,2425,28/09/2024,15:00,Portsmouth,Sheffield United,0,0
E1,2425,28/09/2024,15:00,Watford,Sunderland,2,1
E1,2425,29/09/2024,15:00,Swansea,Bristol City,1,1
E1,2425,01/10/2024,19:45,Burnley,Plymouth,1,0
E1,2425,01/10/2024,19:45,Cardiff,Millwall,1,0
E1,2425,01/10/2024,19:45,Coventry,Blackburn,3,0
E1,2425,01/10/2024,19:45,Luton,Oxford,2,2
E1,2425,01/10/2024,19:45,Norwich,Leeds,1,1
E1,2425,01/10/2024,19:45,QPR,Hull,1,3
E1,2425,01/10/2024,19:45,Sunderland,Derby,2,0
E1,2425,01/10/2024,19:45,West Brom,Middlesbrough,0,1
E1,2425,02/10/2024,19:45,Preston,Watford,3,0
E1,2425,02/10/2024,19:45,Sheffield United,Swansea,1,0
E1,2425,02/10/2024,19:45,Stoke,Portsmouth,6,1
E1,2425,02/10/2024,20:00,Bristol City,Sheffield Weds,0,0
E1,2425,04/10/2024,20:00,Sunderland,Leeds,2,2
E1,2425,05/10/2024,12:30,Burnley,Preston,0,0
E1,2425,05/10/2024,12:30,Norwich,Hull,4,0
E1,2425,05/10/2024,12:30,Portsmouth,Oxford,1,1
E1,2425,05/10/2024,15:00,Coventry,Sheffield Weds,1,2
E1,2425,05/10/2024,15:00,Derby,QPR,2,0
E1,2425,05/10/2024,15:00,Plymouth,Blackburn,2,1
E1,2425,05/10/2024,15:00,Sheffield United,Luton,2,0
E1,2425,05/10/2024,15:00,Swansea,Stoke,0,0
E1,2425,05/10/2024,15:00,Watford,Middlesbrough,2,1
E1,2425,05/10/2024,15:00,West Brom,Millwall,0,0
E1,2425,06/10/2024,15:00,Bristol City,Cardiff,1,1
E1,2425,18/10/2024,20:00,Leeds,Sheffield United,2,0
E1,2425,19/10/2024,12:30,Cardiff,Plymouth,5,0
E1,2425,19/10/2024,12:30,Luton,Watford,3,0
E1,2425,19/10/2024,12:30,Oxford,West Brom,1,1
E1,2425,19/10/2024,12:30,Preston,Coventry,1,0
E1,2425,19/10/2024,15:00,Blackburn,Swansea,1,0
E1,2425,19/10/2024,15:00,Middlesbrough,Bristol City,0,2
E1,2425,19/10/2024,15:00,Millwall,Derby,1,1
E1,2425,19/10/2024,15:00,QPR,Portsmouth,1,2
E1,2425,19/10/2024,15:00,Sheffield Weds,Burnley,0,2
E1,2425,19/10/2024,15:00,Stoke,Norwich,1,1
E1,2425,20/10/2024,15:00,Hull,Sunderland,0,1
