Div,season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG
E0,2425,16/08/2024,20:00,Man United,Fulham,1,0
E0,2425,17/08/2024,12:30,Ipswich,Liverpool,0,2
E0,2425,17/08/2024,15:00,Arsenal,Wolves,2,0
E0,2425,17/08/2024,15:00,Everton,Brighton,0,3
E0,2425,17/08/2024,15:00,Newcastle,Southampton,1,0
E0,2425,17/08/2024,15:00,Nott'm Forest,Bournemouth,1,1
E0,2425,17/08/2024,17:30,West Ham,Aston Villa,1,2
E0,2425,18/08/2024,14:00,Brentford,Crystal Palace,2,1
E0,2425,18/08/2024,16:30,Chelsea,Man City,0,2
E0,2425,19/08/2024,20:00,Leicester,Tottenham,1,1
E0,2425,24/08/2024,12:30,Brighton,Man United,2,1
E0,2425,24/08/2024,15:00,Crystal Palace,West Ham,0,2
E0,2425,24/08/2024,15:00,Fulham,Leicester,2,1
E0,2425,24/08/2024,15:00,Man City,Ipswich,4,1
E0,2425,24/08/2024,15:00,Southampton,Nott'm Forest,0,1
E0,2425,24/08/2024,15:00,Tottenham,Everton,4,0
E0,2425,24/08/2024,17:30,Aston Villa,Arsenal,0,2
E0,2425,25/08/2024,14:00,Bournemouth,Newcastle,1,1
E0,2425,25/08/2024,14:00,Wolves,Chelsea,2,6
E0,2425,25/08/2024,16:30,Liverpool,Brentford,2,0
E0,2425,31/08/2024,12:30,Arsenal,Brighton,1,1
E0,2425,31/08/2024,15:00,Brentford,Southampton,3,1
E0,2425,31/08/2024,15:00,Everton,Bournemouth,2,3
E0,2425,31/08/2024,15:00,Ipswich,Fulham,1,1
E0,2425,31/08/2024,15:00,Leicester,Aston Villa,1,2
E0,2425,31/08/2024,15:00,Nott'm Forest,Wolves,1,1
E0,2425,31/08/2024,17:30,West Ham,Man City,1,3
E0,2425,01/09/2024,13:30,Chelsea,Crystal Palace,1,1
E0,2425,01/09/2024,13:30,Newcastle,Tottenham,2,1
E0,2425,01/09/2024,16:00,Man United,Liverpool,0,3
E0,2425,14/09/2024,12:30,Southampton,Man United,0,3
E0,2425,14/09/2024,15:00,Brighton,Ipswich,0,0
E0,2425,14/09/2024,15:00,Crystal Palace,Leicester,2,2
E0,2425,14/09/2024,15:00,Fulham,West Ham,1,1
E0,2425,14/09/2024,15:00,Liverpool,Nott'm Forest,0,1
E0,2425,14/09/2024,15:00,Man City,Brentford,2,1
E0,2425,14/09/2024,17:30,Aston Villa,Everton,3,2
E0,2425,14/09/2024,20:00,Bournemouth,Chelsea,0,1
E0,2425,15/09/2024,14:00,Tottenham,Arsenal,0,1
E0,2425,15/09/2024,16:30,Wolves,Newcastle,1,2
E0,2425,21/09/2024,12:30,West Ham,Chelsea,0,3
E0,2425,21/09/2024,15:00,Aston Villa,Wolves,3,1
E0,2425,21/09/2024,15:00,Fulham,Newcastle,3,1
E0,2425,21/09/2024,15:00,Leicester,Everton,1,1
E0,2425,21/09/2024,15:00,Liverpool,Bournemouth,3,0
E0,2425,21/09/2024,15:00,Southampton,Ipswich,1,1
E0,2425,21/09/2024,15:00,Tottenham,Brentford,3,1
E0,2425,21/09/2024,17:30,Crystal Palace,Man United,0,0
E0,2425,22/09/2024,14:00,Brighton,Nott'm Forest,2,2
E0,2425,22/09/2024,16:30,Man City,Arsenal,2,2
E0,2425,28/09/2024,12:30,Newcastle,Man City,1,1
E0,2425,28/09/2024,15:00,Arsenal,Leicester,4,2
E0,2425,28/09/2024,15:00,Brentford,West Ham,1,1
E0,2425,28/09/2024,15:00,Chelsea,Brighton,4,2
E0,2425,28/09/2024,15:00,Everton,Crystal Palace,2,1
E0,2425,28/09/2024,15:00,Nott'm Forest,Fulham,0,1
E0,2425,28/09/2024,17:30,Wolves,Liverpool,1,2
E0,2425,29/09/2024,14:00,Ipswich,Aston Villa,2,2
E0,2425,29/09/2024,16:30,Man United,Tottenham,0,3
E0,2425,30/09/2024,20:00,Bournemouth,Southampton,3,1
E0,2425,05/10/2024,12:30,Crystal Palace,Liverpool,0,1
E0,2425,05/10/2024,15:00,Arsenal,Southampton,3,1
E0,2425,05/10/2024,15:00,Brentford,Wolves,5,3
E0,2425,05/10/2024,15:00,Leicester,Bournemouth,1,0
E0,2425,05/10/2024,15:00,Man City,Fulham,3,2
E0,2425,05/10/2024,15:00,West Ham,Ipswich,4,1
E0,2425,05/10/2024,17:30,Everton,Newcastle,0,0
E0,2425,06/10/2024,14:00,Aston Villa,Man United,0,0
E0,2425,06/10/2024,14:00,Chelsea,Nott'm Forest,1,1
E0,2425,06/10/2024,16:30,Brighton,Tottenham,3,2
E0,2425,19/10/2024,12:30,Tottenham,West Ham,4,1
E0,2425,19/10/2024,15:00,Fulham,Aston Villa,1,3
E0,2425,19/10/2024,15:00,Ipswich,Everton,0,2
E0,2425,19/10/2024,15:00,Man United,Brentford,2,1
E0,2425,19/10/2024,15:00,Newcastle,Brighton,0,1
E0,2425,19/10/2024,15:00,Southampton,Leicester,2,3
E0,2425,19/10/2024,17:30,Bournemouth,Arsenal,2,0
E0,2425,20/10/2024,14:00,Wolves,Man City,1,2
E0,2425,20/10/2024,16:30,Liverpool,Chelsea,2,1
E0,2425,21/10/2024,20:00,Nott'm Forest,Crystal Palace,1,0
